Team,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021,Year2022,Year2023,WinnerCounts,Number 1 Count
Rajasthan Royals,1,6,7,6,7,3,5,4,0,0,4,7,8,7,2,5,1,1
Kings XI Punjab,2,5,8,5,6,6,1,8,8,5,7,6,6,6,6,8,0,1
Chennai Super Kings,3,2,3,2,4,1,3,1,0,0,2,2,7,2,9,2,5,2
Delhi Daredevils,4,1,5,10,1,9,8,7,6,6,8,3,2,1,5,9,0,3
Mumbai Indians,5,7,1,3,3,2,4,2,5,1,5,1,1,5,10,4,5,4
Kolkata Knight Riders,6,8,6,4,2,7,2,5,4,4,3,5,5,4,7,7,2,0
Royal Challengers Bangalore,7,3,4,1,5,5,7,3,2,8,6,8,4,3,4,6,0,1
Deccan Chargers,8,4,2,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0
Kochi Tuskers Kerala,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pune Warriors India,0,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0
SunRisers Hyderbad,0,0,0,0,0,4,6,6,3,3,1,4,3,8,8,10,1,1
Gujrat Lions,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1
Rising Pune SuperGaints,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
Gujrat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Lucknow Super Gaints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
